,TRIBECA_ID,NUMBER_ALARMS,LATITUDE,LONGITUDE,ADDRESS,ICON
0,832759,2,28.330225,-81.353279,308 Lariat Ln,home
1,854673,4,33.683311,-84.755806,5545 Dorsett Shoals Ln,home
2,141366,1,35.338819,-80.880445,3910 Hunter Hill Ln,home
3,865247,1,33.423111,-111.743584,4041 E Caballero St,home
4,685593,1,33.497211,-84.405373,431 Thomas Downs Way,home
5,899003,1,28.690725,-81.516098,213 Moonbeam Rd,home
6,763414,6,36.258827,-115.147049,425 Orchid Oasis Ave,home
7,688227,1,33.71172,-84.301498,2175 CLANTON Terrace,home
8,746232,19,33.670567,-84.235809,3796 Holy Cross Dr,home
9,157572,1,29.951504,-95.487116,3907 Ebury Dr,home
10,691329,1,33.669773,-84.21347,3826 Dogwood Farm Rd,home
11,774425,6,30.045544,-81.799988,3214 Katys Ct,home
12,677460,1,28.033434,-81.915283,856 Buttercup Dr,home
13,733498,1,35.233471,-89.496819,15 Rolling Oaks Dr,home
14,235798,7,33.4273968,-84.1326161,2005 Towne Park Dr,home
15,693274,1,29.493402,-98.364578,4931 Dahlia Ter,home
16,3426756,1,30.470326,-81.6480922,13271 Shore Grass Dr,home
17,509869,1,36.2424263,-86.6668339,1540 Joe Pyron Dr,home
18,337009,2,28.665327,-81.454147,3183 Tobago Ct,home
19,152580,1,27.801118,-82.304035,12026 Bridge Point Ln,home
20,688937,6,26.677801,-81.664772,2506 66th ST W,home
21,687419,1,39.798859,-85.740005,958 Streamside Dr,home
22,799249,12,35.03484,-89.821869,7238 N Bay Cv,home
23,1023795,2,35.074738,-80.622337,3410 Arbor Pointe Dr,home
24,1129689,2,36.312088,-115.304588,9515 Havasu Canyon Ave,home
25,1001824,1,33.238743,-97.093971,2525 Craig Ln,home
26,842330,6,30.185028,-81.811935,2995 Thorncrest Dr,home
27,915843,1,27.817629,-82.333809,12234 Dawn Vista Dr,home
28,956904,1,27.904291,-82.372101,7342 Spring Snowflake Ave,home
29,644920,1,28.11438,-81.445885,749 Palaiseau Ct,home
30,681810,1,36.056629,-86.544731,346 Clearlake Dr,home
